Node 	2242 (a: 	4742) 	Degree 	51 (	51) match with a_node 	4742 (deg 	51): 	0.283485 (No. 	1, score 	0.283485/0.283485)
Node 	2353 (a: 	9759) 	Degree 	44 (	44) match with a_node 	9759 (deg 	44): 	0.283348 (No. 	1, score 	0.283348/0.283348)
Node 	2239 (a: 	6708) 	Degree 	51 (	51) match with a_node 	6708 (deg 	51): 	0.28245 (No. 	1, score 	0.28245/0.28245)
Node 	2148 (a: 	5223) 	Degree 	45 (	45) match with a_node 	5223 (deg 	45): 	0.275246 (No. 	1, score 	0.275246/0.275246)
Node 	2237 (a: 	2395) 	Degree 	44 (	44) match with a_node 	2395 (deg 	44): 	0.275094 (No. 	1, score 	0.275094/0.275094)
Node 	2185 (a: 	2185) 	Degree 	48 (	48) match with a_node 	2185 (deg 	48): 	0.26624 (No. 	1, score 	0.26624/0.26624)
Node 	2225 (a: 	2225) 	Degree 	48 (	48) match with a_node 	2225 (deg 	48): 	0.263685 (No. 	1, score 	0.263685/0.263685)
Node 	2409 (a: 	5211) 	Degree 	43 (	43) match with a_node 	5211 (deg 	43): 	0.260172 (No. 	1, score 	0.260172/0.260172)
Node 	2378 (a: 	2378) 	Degree 	43 (	43) match with a_node 	2378 (deg 	43): 	0.258202 (No. 	1, score 	0.258202/0.258202)
Node 	2144 (a: 	8115) 	Degree 	76 (	76) match with a_node 	8115 (deg 	76): 	0.257556 (No. 	1, score 	0.257556/0.257556)
Node 	2258 (a: 	9092) 	Degree 	42 (	42) match with a_node 	9092 (deg 	42): 	0.256752 (No. 	1, score 	0.256752/0.256752)
Node 	2388 (a: 	5583) 	Degree 	44 (	44) match with a_node 	5583 (deg 	44): 	0.247 (No. 	1, score 	0.247/0.247)
Node 	2206 (a: 	2206) 	Degree 	49 (	49) match with a_node 	2206 (deg 	49): 	0.245866 (No. 	1, score 	0.245866/0.245866)
Node 	2384 (a: 	4651) 	Degree 	38 (	38) match with a_node 	4651 (deg 	38): 	0.242932 (No. 	1, score 	0.242932/0.242932)
Node 	2311 (a: 	1698) 	Degree 	37 (	37) match with a_node 	1698 (deg 	37): 	0.242448 (No. 	1, score 	0.242448/0.242448)
Node 	2094 (a: 	2822) 	Degree 	46 (	46) match with a_node 	2822 (deg 	46): 	0.242143 (No. 	1, score 	0.242143/0.242143)
Node 	2173 (a: 	8299) 	Degree 	58 (	58) match with a_node 	8299 (deg 	58): 	0.240237 (No. 	1, score 	0.240237/0.240237)
Node 	2029 (a: 	5323) 	Degree 	47 (	47) match with a_node 	5323 (deg 	47): 	0.238492 (No. 	1, score 	0.238492/0.238492)
Node 	2116 (a: 	4675) 	Degree 	50 (	50) match with a_node 	4675 (deg 	50): 	0.236367 (No. 	1, score 	0.236367/0.236367)
Node 	2339 (a: 	8297) 	Degree 	43 (	43) match with a_node 	8297 (deg 	43): 	0.234073 (No. 	1, score 	0.234073/0.234073)
Node 	2240 (a: 	3226) 	Degree 	43 (	43) match with a_node 	3226 (deg 	43): 	0.233269 (No. 	1, score 	0.233269/0.233269)
Node 	433 (a: 	8173) 	Degree 	37 (	37) match with a_node 	8173 (deg 	37): 	0.231919 (No. 	1, score 	0.231919/0.231919)
Node 	2234 (a: 	3145) 	Degree 	45 (	45) match with a_node 	3145 (deg 	45): 	0.229959 (No. 	1, score 	0.229959/0.229959)
Node 	2321 (a: 	7479) 	Degree 	40 (	40) match with a_node 	7479 (deg 	40): 	0.229948 (No. 	1, score 	0.229948/0.229948)
Node 	2243 (a: 	5770) 	Degree 	37 (	37) match with a_node 	5770 (deg 	37): 	0.228744 (No. 	1, score 	0.228744/0.228744)
Node 	2195 (a: 	2195) 	Degree 	52 (	52) match with a_node 	2195 (deg 	52): 	0.22777 (No. 	1, score 	0.22777/0.22777)
Node 	2079 (a: 	6090) 	Degree 	50 (	50) match with a_node 	6090 (deg 	50): 	0.225973 (No. 	1, score 	0.225973/0.225973)
Node 	2149 (a: 	6606) 	Degree 	61 (	61) match with a_node 	6606 (deg 	61): 	0.223285 (No. 	1, score 	0.223285/0.223285)
Node 	2096 (a: 	9189) 	Degree 	37 (	37) match with a_node 	9189 (deg 	37): 	0.222194 (No. 	1, score 	0.222194/0.222194)
Node 	2040 (a: 	8328) 	Degree 	55 (	55) match with a_node 	8328 (deg 	55): 	0.22207 (No. 	1, score 	0.22207/0.22207)
Node 	2229 (a: 	1151) 	Degree 	46 (	46) match with a_node 	1151 (deg 	46): 	0.218325 (No. 	1, score 	0.218325/0.218325)
Node 	2276 (a: 	8429) 	Degree 	46 (	46) match with a_node 	8429 (deg 	46): 	0.213287 (No. 	1, score 	0.213287/0.213287)
Node 	2389 (a: 	7752) 	Degree 	36 (	36) match with a_node 	7752 (deg 	36): 	0.212529 (No. 	1, score 	0.212529/0.212529)
Node 	2179 (a: 	3336) 	Degree 	59 (	59) match with a_node 	3336 (deg 	59): 	0.211141 (No. 	1, score 	0.211141/0.211141)
Node 	2323 (a: 	2323) 	Degree 	36 (	36) match with a_node 	2323 (deg 	36): 	0.205267 (No. 	1, score 	0.205267/0.205267)
Node 	2114 (a: 	4638) 	Degree 	46 (	46) match with a_node 	4638 (deg 	46): 	0.202168 (No. 	1, score 	0.202168/0.202168)
Node 	2089 (a: 	314) 	Degree 	37 (	37) match with a_node 	314 (deg 	37): 	0.200316 (No. 	1, score 	0.200316/0.200316)
Node 	2352 (a: 	2352) 	Degree 	34 (	34) match with a_node 	2352 (deg 	34): 	0.198414 (No. 	1, score 	0.198414/0.198414)
Node 	2122 (a: 	8054) 	Degree 	32 (	32) match with a_node 	8054 (deg 	32): 	0.196984 (No. 	1, score 	0.196984/0.196984)
